HR,BA,SO,OPS+,Attend/G,Est. Payroll,BatAge,PAge,Playoff
214,0.251,1316,108,29555,178806067,27.8,29.8,no
219,0.253,1406,106,9487,58178571,26.1,28.6,no
190,0.245,1371,102,35842,223005000,28.3,29.4,no
191,0.235,1457,96,22267,138037000,26.5,30.6,no
186,0.254,1419,106,34278,196290967,27.6,29.4,yes
223,0.249,1277,116,37259,169675000,28.4,31,yes
165,0.232,1364,88,17849,63430000,26.9,27.5,no
167,0.245,1415,90,26802,98815833,27.2,29.1,yes
168,0.226,1344,85,25325,88787000,27.4,27.1,yes
160,0.237,1531,80,29687,104724285,26.7,27.7,no
198,0.247,1454,101,29796,132893334,26.7,28.8,yes
182,0.25,1301,97,33677,204583333,28.8,29.2,no
159,0.247,1096,96,21590,110574444,28.3,29.8,no
226,0.225,1627,91,32290,172808094,28,30,no
244,0.253,1353,114,49537,338188810,30.7,29.6,yes
154,0.25,1247,95,14282,70000000,25.7,27.3,no
166,0.258,1266,105,32717,97448000,26.9,28.4,yes
191,0.238,1372,94,21836,135561190,28.1,28.5,no
224,0.249,1325,113,39316,314450000,28.9,30.7,no
274,0.251,1463,118,41885,265827533,28.6,30.5,yes
212,0.258,1337,106,41672,258674285,30.3,30,yes
117,0.231,1422,82,18827,69783500,29.1,27.8,no
152,0.252,1161,96,42435,208104954,29.9,29.6,yes
238,0.244,1446,113,36121,172052858,28.2,29.8,yes
173,0.235,1380,99,31334,144980714,28.7,27.6,no
148,0.245,1321,96,27778,127965000,26.6,29.5,no
182,0.251,1397,99,9713,90516213,27.3,27.8,no
175,0.234,1327,100,29593,208110000,29,31.9,no
191,0.265,1099,108,35184,242062381,28.1,31.1,yes
161,0.242,1351,96,23664,100160060,25.8,27.3,no
211,0.263,1265,114,28912,161660152,28.6,28.6,no
213,0.243,1461,100,37182,241662300,29.3,31.5,yes
235,0.25,1359,115,28162,131181049,26.9,29.6,yes
194,0.252,1570,108,32839,160834775,27.3,29.5,no
170,0.242,1362,100,35923,223048500,27.8,29.2,no
133,0.221,1403,76,17046,123336791,27.8,27.7,no
174,0.231,1459,88,24990,98323334,27.1,29.1,no
185,0.238,1196,99,25703,94230728,26.1,27.7,yes
179,0.242,1617,87,31360,147069963,27.9,28.2,no
162,0.234,1461,92,22942,105584833,26.7,27.9,yes
190,0.262,1176,110,35003,275678766,28.8,29.6,yes
170,0.248,1161,101,20473,113442261,28,29.1,yes
165,0.229,1416,89,31822,165637050,27.3,28.9,no
233,0.258,1336,120,48657,262386278,30.3,29.7,yes
150,0.244,1410,87,13425,109992600,27.2,27,no
177,0.248,1459,102,31323,115142460,26.4,29,yes
183,0.246,1306,103,24094,135262591,28.7,27.9,no
207,0.246,1382,108,28757,262702250,30,31,yes
237,0.248,1326,115,40862,291463084,28,30.1,yes
196,0.233,1502,101,11386,55690000,26.5,28.4,no
198,0.257,1370,106,41527,248632283,29.1,29.5,yes
160,0.234,1506,87,21239,97476500,28.6,27.4,no
190,0.263,1077,107,41118,159391555,29,28.8,yes
185,0.224,1625,102,32688,232370883,28.7,27.3,no
177,0.239,1452,100,31553,142547548,28.9,27.7,no
165,0.248,1318,97,35532,189534400,27.7,30.8,no
147,0.23,1485,92,16515,128533112,27.2,28.3,no
176,0.238,1284,100,32735,261471834,28.1,31.7,no
156,0.241,1233,98,33102,225628287,28.1,30.5,no
135,0.243,1220,93,24288,132086867,26.4,28.9,no
